To convert from,To,Multiply by
Minutes (mean solar),Seconds,60
Newtons,Kilograms,0.10197
Ounces (avoirdupois),Kilograms,0.02835
Ounces (avoirdupois),Ounces (troy),0.9115
Ounces (U.S. fluid),Cubic meters,2.96E-05
Ounces (troy),Ounces (apothecaries’),1
Pints (U.S. liquid),Cubic meters,4.73E-04
Poundals,Newtons,0.13826
Square feet,Square meters,0.0929
Square feet per hour,Square meters per second,2.58E-05
Square inches,Square centimeters,6.452
Square inches,Square meters,6.45E-04
Square yards,Square meters,0.8361
Stokes,Square meters per second,1.00E-04
Tons (long),Kilograms,1016
Tons (long),Pounds,2240
Tons (metric),Kilograms,1000
Tons (metric),Pounds,2204.6
Tons (metric),Tons (short),1.1023
Tons (short),Kilograms,907.18
"Tons (short)
","Pounds
","2000
"
Tons (refrigeration),B.t.u. per hour,"12,000"
Tons (British shipping),Cubic feet,42
Tons (U.S. shipping),Cubic feet,40
"Torr (mm. mercury, 0C.)",Newtons per square meter,133.32
Watts,B.t.u. per hour,3.413
Watts,Joules per second,1
Watts,Kilogram-meters per second,0.10197
Watt-hours,Joules,3600
Yards,Meters,0.9144
